run,topology,duration,num_flows,jfi,agg_throughput_mbps,link_util_pct,pdr_pct,avg_karma,karma_1,fwd_1,drops_1,karma_2,fwd_2,drops_2,karma_3,fwd_3,drops_3,karma_4,fwd_4,drops_4,karma_5,fwd_5,drops_5,karma_6,fwd_6,drops_6,karma_7,fwd_7,drops_7,karma_8,fwd_8,drops_8
19,cross,60,8,0.7522,5.8626,97.71,6.5363,100.0,100,7911964,343,100,1041968,11,100,6813212,438,100,5799082,358,100,7400020,658,100,946586,16,100,10427856,95,100,3629136,131
20,cross,60,8,0.8564,5.7132,95.22,8.8426,100.0,100,6316126,351,100,2236436,112,100,4981604,146,100,7182168,412,100,5379596,385,100,2018420,56,100,8965498,748,100,5769016,561
21,cross,60,8,0.8726,5.8505,97.51,3.6653,100.0,100,7847772,167,100,2490866,27,100,5676334,224,100,5844048,164,100,5845692,153,100,2345522,30,100,5131448,191,100,8697392,157
22,cross,60,8,0.7958,5.8462,97.44,5.0726,100.0,100,4084296,52,100,2103282,41,100,7408660,301,100,7939796,372,100,4587894,120,100,1487084,8,100,10103534,504,100,6132178,164
23,cross,60,8,0.7893,5.7415,95.69,5.2917,100.0,100,7004890,325,100,955592,5,100,4406844,203,100,9204484,509,100,8699262,216,100,1827656,20,100,5936890,201,100,5025836,125
24,cross,60,8,0.8368,5.8285,97.14,6.048,100.0,100,4187100,60,100,2189502,53,100,5121308,85,100,9907652,548,100,8092786,439,100,3552102,30,100,3958020,395,100,6705596,266
25,cross,60,8,0.8814,5.7914,96.52,2.8875,100.0,100,5852520,155,100,2194044,34,100,6844162,161,100,6515610,67,100,3667778,74,100,3137266,48,100,7672024,135,100,7551958,187
26,cross,60,8,0.8645,5.9162,98.6,5.859,100.0,100,6538198,250,100,1267476,7,100,8040778,107,100,5838108,300,100,5861798,500,100,2699720,29,100,6771436,306,100,7353756,342
27,cross,60,8,0.8255,5.8065,96.77,5.682,100.0,100,3840526,72,100,2451502,60,100,10387230,438,100,4734196,98,100,5824784,403,100,2436284,23,100,6987042,208,100,6886982,447
28,cross,60,8,0.8538,5.8069,96.78,5.5036,100.0,100,7271036,140,100,1976106,11,100,5850108,65,100,6124542,109,100,9403228,502,100,2548320,62,100,5638950,629,100,4739558,173
29,cross,60,8,0.869,5.7914,96.52,7.8536,100.0,100,6675574,389,100,2739084,68,100,5263550,369,100,6689210,375,100,7079838,446,100,1232654,36,100,7428434,539,100,6327270,246
30,cross,60,8,0.8199,5.8007,96.68,6.4689,100.0,100,6919494,202,100,2250140,13,100,3387032,270,100,9173252,228,100,8321418,558,100,1882160,66,100,6149092,204,100,5422930,465
